"","4_Hydroxyproline","Alanine","Arginine","Citrulline","Creatine","Glutamate","Glutamine","Isoleucine","Leucine","Lysine","Ornithine","Phenylalanine","Pipecolate","Proline","Serine","Taurine","Threonine","Tryptophan","Tyrosine","Valine"
"M779",7.03847433445973e-05,0.00207156402835667,0.00116881488517028,0.00028283973935537,0.00210441387744966,0.000929785234419217,0.00328915244674112,0.000329717021854905,0.000455660916340212,0.00162238810744383,0.000281166736039852,0.000328888058781805,2.01332536309668e-05,0.000406081028947415,0.000567626568570231,0.00768992165929404,0.000717268629788343,0.00022330578713978,0.000282194051690991,0.000679682056515359
"M781",0.000196034697871366,0.00494787997138933,0.00191117615014878,0.000583445273517968,0.0042819842698558,0.00167244614099336,0.00677365088120851,0.000786959954222934,0.0013877029423209,0.00293122828564889,0.000341168816662852,0.00080993764820325,2.73006384756237e-05,0.000957760909819181,0.00119029037537194,0.0186720276665141,0.00123337039377432,0.000343484101625086,0.000756050422293431,0.0014566248049897
"M782",0.000161575344581749,0.00335472121197719,0.00155625014258555,0.000466478326996198,0.00284353909220532,0.00140672083887833,0.00475965616444867,0.000512367226711027,0.000872367780418251,0.00198075638070342,0.00034337102661597,0.000527288992395437,3.14912267110266e-05,0.000614856580323194,0.000906276380703422,0.0121217351592205,0.00121613116711027,0.000250045855513308,0.000408194201520912,0.0010254888509981
"M783",0.000133994806355511,0.00323433415342602,0.00136427835153923,0.000356967825223436,0.00196304344587885,0.00126254926762661,0.00478006234856008,0.000505401787487587,0.000793728296921549,0.00191306382571996,0.000269668083416087,0.000537810739821251,2.86338632075472e-05,0.000461720461767627,0.000701034831181728,0.0106123036618669,0.00118876703118173,0.000206714426514399,0.000595210049652433,0.000972981517874876
"M784",0.000132770185479057,0.00324778872689754,0.00149944612912437,0.000274758335160099,0.00386933890703788,0.00235392135242117,0.00438675280185322,0.000609316756589316,0.00101763536025638,0.00176728482550866,0.000209825732177035,0.000832700809880602,3.25886758715321e-05,0.00045905511542582,0.000680444718641411,0.0288232163444925,0.000963331895726044,0.000290291121446009,0.000779953201507435,0.000918386025762172
"M786",0.000227430864383555,0.00524528482356016,0.00195651632767704,0.000423664277720047,0.00726826898831395,0.00341869354757689,0.00724567194546626,0.00101626465071735,0.00155216218109491,0.0029830698646134,0.00060885384547306,0.0010827664442034,5.58233062327626e-05,0.000779583634876324,0.00125572262259776,0.043198317215885,0.00165015515300145,0.000433092838856097,0.000777001889402105,0.001901702185648
"M787",0.000142282262521114,0.00273789609050868,0.00122727060304746,0.000252049919083424,0.00548295835735117,0.00173919084911726,0.00430572616312622,0.000494274751502857,0.000828353555485515,0.00150413191570324,0.000143399861319228,0.000609985167482091,3.49234319349522e-05,0.000277381615405895,0.00045538190426908,0.0261149466632638,0.00107867982737709,0.000200288884885569,0.000563418407607647,0.000951083638323193
"M788",4.03683595850941e-05,0.00303891135292611,0.00146011009092073,0.000353013753361506,0.00262867036688436,0.00145667932129594,0.00559185275195288,0.000551580852221795,0.00132248385708798,0.00167800247983096,0.00010019890895121,0.000746179031886285,2.31883869893712e-05,0.000598443056729415,0.000748670364963504,0.0238494888494045,0.00102505206315789,0.000293569182993981,0.000755399184914842,0.00109989771949033
"M791",6.87108246604339e-05,0.0026114889310284,0.00141597036514376,0.000280353995413653,0.0064770563617922,0.00231997719174458,0.0048402655865232,0.000346146269183277,0.00070958828276592,0.00205451232933498,0.000170486166872464,0.000500421673134592,1.28838037572764e-05,0.000471131293878991,0.000867942555124361,0.0175114520418063,0.000658191889363203,0.000290007320515082,0.000470170311342388,0.000696561784618098
"M792",0.000136734578147524,0.00444093369301925,0.00170269163957965,0.000440112759989787,0.00348271787882201,0.00316360906933386,0.00933671032189494,0.000446361225117666,0.00093615812088824,0.002196552839998,0.000136355923131176,0.000655331208198405,1.86038422565706e-05,0.000638036689929264,0.000773600278813904,0.0246773295528917,0.00109578316405267,0.000348440962763494,0.000693191595295315,0.00085017429106793
"M793",0.000205408662884927,0.00409301407617504,0.00237576896272285,0.000550233063209076,0.0128771466491086,0.00189611700972447,0.00767471855753647,0.000705384213938412,0.00117319553484603,0.00349487690032415,0.000434714294975689,0.000914033484602917,4.08194732576985e-05,0.000703421908427877,0.00153215088330632,0.0356120714343598,0.00144608198995138,0.000361953816855754,0.000861313241491086,0.00139351779051864
"M795",0.000183731310044984,0.0034557303760792,0.00217211364948618,0.000380898550611569,0.00756805252150464,0.00152445390195551,0.0072100905076263,0.000519820229110846,0.00123881296093746,0.00293149655763376,0.000223265446339104,0.000840469561512834,1.64208379783921e-05,0.000953180890428033,0.000939674382743148,0.0255713490938175,0.00114324952376089,0.000368402397735557,0.000896250253710206,0.00105038783748953
